title,kindcolour,price,link,link image
Nike Tiempo Legend 10 Club,1 Colour,"Rp 799,000",https://www.nike.com/id/t/tiempo-legend-10-club-football-shoes-9CJFpp/DV4345-040,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b4960247-dee0-42c9-83c2-56b860599ecc/tiempo-legend-10-club-football-shoes-9CJFpp.png"
Nike Phantom GX Academy MG By You,6 Colours,"Rp 1,939,000",https://www.nike.com/id/u/custom-phantom-academy-low-by-you-10001417/7447001113,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4855efa3-a817-4108-b3c2-2aa9711824b8/custom-phantom-academy-low-by-you.png"
Nike Lunar Gato II,2 Colours,"Rp 1,649,000",https://www.nike.com/id/t/lunar-gato-ii-indoor-court-football-shoes-pf450P/580456-009,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2f7b9c24-e797-4647-ae42-9e9d983b0dc9/lunar-gato-ii-indoor-court-football-shoes-pf450P.png"
Nike Mercurial Vapor 15 Academy,2 Colours,"Rp 1,088,000",https://www.nike.com/id/t/mercurial-vapor-15-academy-indoor-court-football-shoes-kjqhHM/DJ5633-605,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0b282846-eedd-4ede-a824-c6a703bc20b1/mercurial-vapor-15-academy-indoor-court-football-shoes-kjqhHM.png"
Nike Phantom Luna,1 Colour,"Rp 1,909,000",https://www.nike.com/id/t/phantom-luna-football-boot-bVCk6Z/FN8507-800,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c8cac444-f1f4-40ec-b441-92244ff332e2/phantom-luna-football-boot-bVCk6Z.png"
Nike Zoom Mercurial Superfly 9 Academy FG By You,6 Colours,"Rp 1,939,000",https://www.nike.com/id/u/custom-mercurial-superfly-9-academy-by-you-10001357/9606319346,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dfef720b-52c9-4547-9ebb-f6772e180b2f/custom-mercurial-superfly-9-academy-by-you.png"
Nike Phantom GX Pro,1 Colour,"Rp 2,199,000",https://www.nike.com/id/t/phantom-gx-pro-football-boot-rFQzVx/DD9463-040,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d2db83dd-d540-451e-92b0-4e42258c1434/phantom-gx-pro-football-boot-rFQzVx.png"
Nike Tiempo Legend 10 Academy,1 Colour,"Rp 1,199,000",https://www.nike.com/id/t/tiempo-legend-10-academy-multi-ground-football-boot-LqKl6s/DZ3179-800,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5096d58a-309a-472a-9e7b-4217104b8127/tiempo-legend-10-academy-multi-ground-football-boot-LqKl6s.png"
Nike Phantom GX Academy,1 Colour,"Rp 1,098,000",https://www.nike.com/id/t/phantom-gx-academy-football-shoes-zQ5w1x/DD9477-705,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/019e69ea-a24f-4c2b-a4e8-99785f69cd5d/phantom-gx-academy-football-shoes-zQ5w1x.png"
Nike Phantom GX Academy,1 Colour,"Rp 1,299,000",https://www.nike.com/id/t/phantom-gx-academy-multi-ground-football-boot-35LbbD/DD9473-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e079ebe3-2cef-4688-a5c4-f6dbc9538a75/phantom-gx-academy-multi-ground-football-boot-35LbbD.png"
Nike Phantom GX Academy,1 Colour,"Rp 1,098,000",https://www.nike.com/id/t/phantom-gx-academy-indoor-court-football-shoes-H1nQBN/DD9475-705,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ef8f07ed-741c-4d59-8289-dadcad39d04a/phantom-gx-academy-indoor-court-football-shoes-H1nQBN.png"
Nike Mercurial Superfly 9 Club,1 Colour,"Rp 949,000",https://www.nike.com/id/t/mercurial-superfly-9-club-football-shoes-SMp9Bd/DJ5965-040,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/36b665e1-dedb-4962-956d-8216b767700f/mercurial-superfly-9-club-football-shoes-SMp9Bd.png"
